Strategy,Sharpe,Annual Return,Annual Vol,Max Drawdown,Hit Rate,Total Return,# Trades
Peer Lead-Lag,-0.0122,+4.26%,60.78%,-48.16%,45.54%,+4.73%,230
Market Contrarian,1.2365,+76.91%,58.15%,-35.12%,58.47%,+88.06%,167
Regime Conditional,0.5307,+40.96%,67.77%,-44.15%,52.16%,+46.25%,45
Vol Breakout,-1.1412,-47.99%,46.44%,-61.20%,45.10%,-51.51%,56
DIX Enhanced,0.519,+43.71%,74.60%,-57.87%,52.97%,+49.41%,153
Mean Reversion,-0.3268,-10.87%,48.56%,-43.01%,51.16%,-11.96%,128
Momentum+Stop,3.3581,+276.69%,80.91%,-42.33%,54.37%,+334.21%,30
Gap Fade,0.0575,+7.81%,48.78%,-30.26%,61.29%,+8.68%,53
Volume Spike,-0.3045,-5.21%,33.53%,-19.93%,54.55%,-5.75%,16
RSI Divergence,-0.2583,+0.56%,17.19%,-12.37%,50.00%,+0.62%,24
Multi-TF Momentum,0.9022,+92.16%,96.62%,-57.60%,50.92%,+106.09%,66
BB Mean Reversion,-1.235,-63.49%,55.46%,-74.54%,50.40%,-67.22%,118
Combined Best,1.0856,+36.45%,28.97%,-18.24%,52.88%,+41.07%,251
Adaptive Ensemble,1.7902,+62.17%,31.93%,-21.86%,54.62%,+70.79%,216
Peer Lead-Lag (VolAdj),-0.0739,+3.88%,15.18%,-14.64%,45.54%,+4.30%,246
Market Contrarian (VolAdj),1.1068,+21.27%,14.70%,-8.44%,58.47%,+23.80%,179
Regime Conditional (VolAdj),0.1545,+7.47%,16.01%,-12.75%,50.19%,+8.31%,259
Vol Breakout (VolAdj),-1.5603,-10.16%,9.72%,-16.27%,45.10%,-11.19%,74
DIX Enhanced (VolAdj),0.6653,+17.67%,19.04%,-18.49%,52.97%,+19.74%,238
Mean Reversion (VolAdj),-0.6798,-3.23%,12.10%,-13.71%,51.16%,-3.57%,141
Momentum+Stop (VolAdj),2.3915,+54.07%,20.52%,-10.95%,54.37%,+61.37%,118
Gap Fade (VolAdj),-0.0884,+3.93%,12.07%,-7.09%,61.29%,+4.36%,55
Volume Spike (VolAdj),-0.4598,+0.96%,8.78%,-4.04%,54.55%,+1.07%,18
RSI Divergence (VolAdj),-1.2748,+0.59%,3.46%,-2.19%,50.00%,+0.65%,28
Multi-TF Momentum (VolAdj),1.0222,+30.05%,24.50%,-16.10%,50.92%,+33.76%,196
BB Mean Reversion (VolAdj),-1.949,-23.42%,14.58%,-29.87%,50.40%,-25.58%,155
Combined Best (VolAdj),0.4151,+8.15%,7.58%,-4.97%,50.97%,+9.06%,259
Adaptive Ensemble (VolAdj),0.9344,+12.50%,8.02%,-5.85%,54.62%,+13.93%,238
ML Direction (top-15),4.0567,+296.73%,71.91%,-26.14%,61.82%,+314.47%,86
ML Regression Signal,0.3564,+28.15%,64.97%,-32.82%,43.48%,+28.91%,131
