strategy,params,train_sharpe,train_return,val_sharpe,val_return,combined_score
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.1}",4.9381,2.09,0.3216,0.0282,2.6298500000000002
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.15}",4.9381,2.09,0.3216,0.0282,2.6298500000000002
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.2}",4.9381,2.09,0.3216,0.0282,2.6298500000000002
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.1}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.15}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.2}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.1}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.15}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.2}",5.6486,2.3314,0.3216,0.0282,2.9851
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.1}",8.256,2.9977,0.3216,0.0282,4.2888
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.15}",8.256,2.9977,0.3216,0.0282,4.2888
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.2}",8.256,2.9977,0.3216,0.0282,4.2888
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.1}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.15}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.2}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.1}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.15}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.2}",9.3552,3.3099,0.3216,0.0282,4.8384
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.1}",8.3072,2.9683,0.3216,0.0282,4.3144
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.15}",8.3072,2.9683,0.3216,0.0282,4.3144
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.2}",8.3072,2.9683,0.3216,0.0282,4.3144
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.1}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.15}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.2}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.1}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.15}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 5, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.2}",9.4134,3.2783,0.3216,0.0282,4.8675
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.1}",2.0173,1.0047,2.1321,0.1333,2.0747
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.15}",2.0173,1.0047,2.1321,0.1333,2.0747
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.2}",2.0173,1.0047,2.1321,0.1333,2.0747
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.1}",2.3897,1.1613,2.1321,0.1333,2.2609
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.15}",2.3897,1.1613,2.1321,0.1333,2.2609
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.2}",2.3897,1.1613,2.1321,0.1333,2.2609
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.1}",2.558,1.2321,2.1321,0.1333,2.3450499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.15}",2.558,1.2321,2.1321,0.1333,2.3450499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.2}",2.558,1.2321,2.1321,0.1333,2.3450499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.1}",4.3972,1.8201,2.1321,0.1333,3.2646499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.15}",4.3972,1.8201,2.1321,0.1333,3.2646499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.2}",4.3972,1.8201,2.1321,0.1333,3.2646499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.1}",5.0504,2.0404,2.1321,0.1333,3.5912499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.15}",5.0504,2.0404,2.1321,0.1333,3.5912499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.2}",5.0504,2.0404,2.1321,0.1333,3.5912499999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.1}",5.3431,2.1401,2.1321,0.1333,3.7375999999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.15}",5.3431,2.1401,2.1321,0.1333,3.7375999999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.2}",5.3431,2.1401,2.1321,0.1333,3.7375999999999996
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.1}",5.2788,2.0866,2.1321,0.1333,3.70545
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.15}",5.2788,2.0866,2.1321,0.1333,3.70545
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.2}",5.2788,2.0866,2.1321,0.1333,3.70545
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.1}",6.0347,2.3277,2.1321,0.1333,4.0834
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.15}",6.0347,2.3277,2.1321,0.1333,4.0834
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.1, 'max_loss': 0.2}",6.0347,2.3277,2.1321,0.1333,4.0834
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.1}",6.373,2.4368,2.1321,0.1333,4.25255
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.15}",6.373,2.4368,2.1321,0.1333,4.25255
Momentum+Stop,"{'sma_short': 10, 'sma_long': 70, 'trailing_stop': 0.15, 'max_loss': 0.2}",6.373,2.4368,2.1321,0.1333,4.25255
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.1}",4.6257,1.949,21.193,0.4306,12.90935
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.15}",4.6257,1.949,21.193,0.4306,12.90935
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.08, 'max_loss': 0.2}",4.6257,1.949,21.193,0.4306,12.90935
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.1}",5.3019,2.1794,21.193,0.4306,13.24745
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.15}",5.3019,2.1794,21.193,0.4306,13.24745
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.1, 'max_loss': 0.2}",5.3019,2.1794,21.193,0.4306,13.24745
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.1}",4.9553,2.0388,26.1761,0.4622,15.565700000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.15}",5.4448,2.1997,26.1761,0.4622,15.810450000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 30, 'trailing_stop': 0.15, 'max_loss': 0.2}",5.4448,2.1997,26.1761,0.4622,15.810450000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.1}",6.742,2.5891,21.193,0.4306,13.967500000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.15}",6.742,2.5891,21.193,0.4306,13.967500000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.08, 'max_loss': 0.2}",6.742,2.5891,21.193,0.4306,13.967500000000001
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.1}",7.6648,2.8695,21.193,0.4306,14.4289
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.15}",7.6648,2.8695,21.193,0.4306,14.4289
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.1, 'max_loss': 0.2}",7.6648,2.8695,21.193,0.4306,14.4289
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.1}",7.2009,2.6984,26.1761,0.4622,16.6885
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.15}",7.2009,2.6984,26.1761,0.4622,16.6885
Momentum+Stop,"{'sma_short': 15, 'sma_long': 50, 'trailing_stop': 0.15, 'max_loss': 0.2}",7.2009,2.6984,26.1761,0.4622,16.6885
Momentum+Stop,"{'sma_short': 15, 'sma_long': 70, 'trailing_stop': 0.08, 'max_loss': 0.1}",5.0935,2.0494,21.193,0.4306,13.14325
